,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
104212,104241,09/03/90,AVECAMP MASONRY CONTRACTORS LTD.,M9V,T850204505,BUILDING RENOVATOR,M9V,43.741978,-79.586254,1990,M9V
104213,104242,13/03/90,CAROSI CONSTRUCTION LIMITED,L6T,T850204586,BUILDING RENOVATOR,L6T,43.739983,-79.650583,1990,L6T
104214,104243,15/03/90,TREE CRAFT CONSTRUCTION,M4J,T850204631,BUILDING RENOVATOR,M4J,43.721377,-79.257537,1990,M4J
104215,104244,23/03/90,,M1N,T850204811,BUILDING RENOVATOR,M1N,43.680889,-79.278736,1990,M1N
104216,104245,23/03/90,KENLYN RENOMATE INC,L3R,T850204813,BUILDING RENOVATOR,L3R,43.841094,-79.325796,1990,L3R
104217,104246,27/03/90,CRESTWOOD RAILINGS INC,L4J,T850204846,BUILDING RENOVATOR,L4J,43.818375,-79.452075,1990,L4J
104218,104247,28/03/90,JOHN MACKENZIE CABINET MAKER,M4M,T850204881,BUILDING RENOVATOR,M4M,43.651613,-79.352272,1990,M4M
104219,104248,28/03/90,RENOVATION SOLUTIONS,L5G,T850204884,BUILDING RENOVATOR,L5G,43.570082,-79.580719,1990,L5G
104220,104249,04/04/90,CEDAR CREEK CONTRACTING,M9C,T850205023,BUILDING RENOVATOR,M9C,43.627728,-79.558823,1990,M9C
104221,104250,04/04/90,RESIDENT RENEWALL,M6P,T850205028,BUILDING RENOVATOR,M6P,43.656241,-79.446009,1990,M6P
104222,104251,09/04/90,A BETTER CHOICE,L1V,T850205094,BUILDING RENOVATOR,L1V,43.835053,-79.099848,1990,L1V
104223,104252,09/04/90,TOM STEPHENSON GENERAL CONTRACTING COMPANY,M3H,T850205103,BUILDING RENOVATOR,M3H,43.797038,-79.423404,1990,M3H
104224,104253,10/04/90,,M1W,T850205117,BUILDING RENOVATOR,M1W,43.800983,-79.319534,1990,M1W
104225,104254,10/04/90,FRANK DIMARTINO ROOFING LTD.,M6J,T850205119,BUILDING RENOVATOR,M6J,43.641374,-79.422896,1990,M6J
104226,104255,10/04/90,J.J. MCGUIRE GENERAL CONTRACTORS,L1E,T850205121,BUILDING RENOVATOR,L1E,43.872519,-78.743975,1990,L1E
104227,104256,19/04/90,SKIPPY CARPENTRY (1989) LTD.,M8V,T850205245,BUILDING RENOVATOR,M8V,43.621403,-79.483788,1990,M8V
